09283: Eksport av fisk, etter land, statistikkvariabel, år og varegruppe;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
land;Verdi (mill. kr) 2021 Fisk, krepsdyr og bløtdyr i alt;Verdi (mill. kr) 2021 Laks;Verdi (mill. kr) 2021 Torsk;Verdi (mill. kr) 2021 Sild;Verdi (mill. kr) 2021 Makrell;Verdi (mill. kr) 2021 Sei;Verdi (mill. kr) 2021 Ørret;Verdi (mill. kr) 2021 Hyse;Verdi (mill. kr) 2021 Lange;Verdi (mill. kr) 2021 Brosme;Verdi (mill. kr) 2021 Uer;Verdi (mill. kr) 2021 Kveite;Verdi (mill. kr) 2021 Annen fisk;Verdi (mill. kr) 2021 Reker;Verdi (mill. kr) 2021 Andre skalldyr/bløtdyr
Albania;4;0;0;1;0;0;0;0;0;0;0;0;0;:;3
Andorra;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Belarus;1135;179;0;170;58;0;701;0;0;0;1;0;25;:;0
Belgia;801;718;4;0;0;4;27;1;2;1;1;0;7;:;36
Bosnia-Hercegovina;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Bulgaria;54;11;5;3;36;0;0;0;0;0;0;0;0;:;0
Danmark;9819;6542;1644;277;32;241;41;164;15;0;44;121;381;:;316
Estland;302;251;0;4;4;0;23;0;0;0;5;2;1;:;11
Finland;1884;1711;11;10;0;7;24;0;4;0;0;0;5;:;112
Frankrike;8194;7505;249;82;13;46;102;24;6;1;1;10;20;:;135
Færøyene;181;2;35;0;85;8;0;0;1;0;2;0;48;:;0
Gibraltar;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Guernsey (2007-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Hellas;357;241;52;6;2;0;0;0;38;0;0;0;12;:;5
Irland;383;279;23;2;10;0;0;3;0;0;0;0;67;:;0
Island;282;0;6;16;1;0;0;0;0;0;0;0;180;:;79
Isle of Man (2007-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Italia;4980;4196;654;1;21;1;2;0;48;23;0;0;7;:;28
Jersey (2007-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Jugoslavia (-2003);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kanariøyene;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Kosovo (2009-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Kroatia;54;3;46;4;1;0;0;0;0;0;0;0;0;:;0
Kypros;34;28;3;0;1;0;2;0;0;0;0;0;0;:;0
Latvia;505;215;184;37;32;3;10;3;0;0;2;3;7;:;8
Liechtenstein;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Litauen;3508;2261;274;545;228;86;21;7;0;0;24;6;42;:;14
Luxembourg;20;15;5;0;0;0;0;0;0;0;0;0;0;:;1
Malta;1;0;0;0;0;1;0;0;0;0;0;0;0;:;0
Moldova;17;3;0;2;9;0;0;0;0;0;0;0;2;:;0
Monaco;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Montenegro (2007-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Nederland;6873;5553;460;298;200;62;13;7;4;5;2;25;62;:;182
Nord-Makedonia;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Polen;12538;10731;469;733;81;110;253;66;0;0;4;38;47;:;6
Portugal;3578;711;2780;0;0;9;0;8;6;1;36;0;20;:;8
Romania;176;103;0;8;43;3;16;0;0;0;0;0;3;:;0
Russland;195;151;0;0;0;0;44;0;0;0;0;0;0;:;0
San Marino;53;0;40;0;0;0;0;0;7;5;0;0;1;:;0
Serbia (2007-);110;106;0;0;3;0;0;0;0;0;0;0;0;:;0
Serbia og Montenegro (2004-2006);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Slovakia;16;3;0;12;0;0;0;0;0;0;0;0;0;:;0
Slovenia;5;5;0;0;0;0;0;0;0;0;0;0;0;:;0
Sovjetunionen (-1992);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spania;5960;5490;241;93;4;2;18;0;7;0;1;1;54;:;50
Storbritannia;5375;3754;676;5;5;7;40;620;1;11;0;62;15;:;178
Sveits;275;229;30;0;0;0;2;0;1;0;0;1;1;:;11
Sverige;3843;2704;288;135;93;22;30;31;9;0;2;35;140;:;354
Sør-Georgia og Sør-Sandwichøyene (1999-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Tsjekkia;504;463;19;20;0;0;0;0;0;0;0;0;1;:;0
Tsjekkoslovakia (-1992);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tyrkia;558;332;1;5;167;24;10;0;0;0;3;0;2;:;15
Tyskland;3664;2942;106;366;12;33;101;4;1;0;9;10;45;:;35
Ukraina;2200;1460;6;153;92;3;418;0;0;0;6;5;39;:;17
Ungarn;8;2;0;0;1;0;0;0;0;0;0;0;2;:;3
Vatikanstaten;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Østerrike;74;70;3;1;0;0;0;0;0;0;0;0;0;:;0
Øst-Tyskland (DDR) (-1990);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Åland (2005-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
